First Author,PubMed ID,Study accession,Publication date,Journal,Title,Trait(s),Reported trait
R¨¹hlemann MC,33462482,GCST90011394,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_34 (Ruminococcus) abundance
R¨¹hlemann MC,33462482,GCST90011395,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_354 (Alloprevotella) abundance
R¨¹hlemann MC,33462482,GCST90011396,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_38 (Alphaproteobacteria) abundance
R¨¹hlemann MC,33462482,GCST90011397,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_39 (Proteobacteria) abundance
R¨¹hlemann MC,33462482,GCST90011398,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_4 (Alistipes) abundance
R¨¹hlemann MC,33462482,GCST90011399,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_46 (Lachnospiraceae) abundance
R¨¹hlemann MC,33462482,GCST90011375,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_16 (Faecalibacterium) abundance
R¨¹hlemann MC,33462482,GCST90011351,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,O_Coriobacteriales abundance
R¨¹hlemann MC,33462482,GCST90011352,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,O_Erysipelotrichales abundance
R¨¹hlemann MC,33462482,GCST90011377,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_165 (Porphyromonadaceae) abundance
R¨¹hlemann MC,33462482,GCST90011378,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_17 (Parabacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011356,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_101 (Sutterella) abundance
R¨¹hlemann MC,33462482,GCST90011357,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_102 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011358,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_105 (Ruminococcaceae) abundance
R¨¹hlemann MC,33462482,GCST90011359,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_106 (Ruminococcaceae) abundance
R¨¹hlemann MC,33462482,GCST90011360,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_108 (Phascolarctobacterium) abundance
R¨¹hlemann MC,33462482,GCST90011382,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_21 (Parasutterella) abundance
R¨¹hlemann MC,33462482,GCST90011363,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_113 (Bacteroidales) abundance
R¨¹hlemann MC,33462482,GCST90011384,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_235 (Phascolarctobacterium) abundance
R¨¹hlemann MC,33462482,GCST90011366,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_12 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011367,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_126 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011386,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_257 (Mitsuokella) abundance
R¨¹hlemann MC,33462482,GCST90011387,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_26 (Parasutterella) abundance
R¨¹hlemann MC,33462482,GCST90011388,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_27 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011373,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_15 (Parasutterella) abundance
R¨¹hlemann MC,33462482,GCST90011374,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_150 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011425,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_12 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011426,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_120 (Ruminococcaceae) abundance
R¨¹hlemann MC,33462482,GCST90011427,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_121 (Ruminococcaceae) abundance
R¨¹hlemann MC,33462482,GCST90011428,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_123 (Phascolarctobacterium) abundance
R¨¹hlemann MC,33462482,GCST90011429,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_124 (Paraprevotella) abundance
R¨¹hlemann MC,33462482,GCST90011430,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_13 (Subdoligranulum) abundance
R¨¹hlemann MC,33462482,GCST90011431,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_132 (Bacteroidales) abundance
R¨¹hlemann MC,33462482,GCST90011432,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_137 (Ruminococcus) abundance
R¨¹hlemann MC,33462482,GCST90011433,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_140 (Desulfovibrio) abundance
R¨¹hlemann MC,33462482,GCST90011434,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_150 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011435,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_155 (Butyrivibrio) abundance
R¨¹hlemann MC,33462482,GCST90011436,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_157 (Barnesiella) abundance
R¨¹hlemann MC,33462482,GCST90011437,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_16 (Faecalibacterium) abundance
R¨¹hlemann MC,33462482,GCST90011438,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_166 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011439,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_17 (Parabacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011440,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_171 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011441,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_19 (Bacteria) abundance
R¨¹hlemann MC,33462482,GCST90011442,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_197 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011443,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_2 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011444,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_21 (Parasutterella) abundance
R¨¹hlemann MC,33462482,GCST90011445,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_211 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011446,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_23 (Faecalibacterium) abundance
R¨¹hlemann MC,33462482,GCST90011481,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,P_Actinobacteria abundance
R¨¹hlemann MC,33462482,GCST90011447,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_24 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011448,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_26 (Parasutterella) abundance
R¨¹hlemann MC,33462482,GCST90011449,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_271 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011450,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_298 (Phascolarctobacterium) abundance
R¨¹hlemann MC,33462482,GCST90011451,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_3 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011452,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_30 (Parasutterella) abundance
R¨¹hlemann MC,33462482,GCST90011453,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_32 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011454,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_34 (Holdemanella) abundance
R¨¹hlemann MC,33462482,GCST90011455,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_35 (Ruminococcus) abundance
R¨¹hlemann MC,33462482,GCST90011456,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_39 (Alphaproteobacteria) abundance
R¨¹hlemann MC,33462482,GCST90011457,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_4 (Alistipes) abundance
R¨¹hlemann MC,33462482,GCST90011458,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_40 (Proteobacteria) abundance
R¨¹hlemann MC,33462482,GCST90011459,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_45 (Faecalibacterium) abundance
R¨¹hlemann MC,33462482,GCST90011460,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_47 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011461,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_5 (Sutterella) abundance
R¨¹hlemann MC,33462482,GCST90011462,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_53 (Aestuariispira) abundance
R¨¹hlemann MC,33462482,GCST90011463,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_54 (Holdemanella) abundance
R¨¹hlemann MC,33462482,GCST90011464,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_55 (Barnesiella) abundance
R¨¹hlemann MC,33462482,GCST90011465,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_558 (Bacteroidales) abundance
R¨¹hlemann MC,33462482,GCST90011466,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_58 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011467,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_59 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011468,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_6 (Sutterella) abundance
R¨¹hlemann MC,33462482,GCST90011469,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_62 (Ruminococcaceae) abundance
R¨¹hlemann MC,33462482,GCST90011470,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_65 (Sutterellaceae) abundance
R¨¹hlemann MC,33462482,GCST90011471,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_7 (Lachnospiraceae) abundance
R¨¹hlemann MC,33462482,GCST90011472,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_72 (Parabacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011473,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_78 (Clostridiales) abundance
R¨¹hlemann MC,33462482,GCST90011474,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_8 (Ruminococcaceae) abundance
R¨¹hlemann MC,33462482,GCST90011475,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_84 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011476,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_85 (Alistipes) abundance
R¨¹hlemann MC,33462482,GCST90011477,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_9 (Alistipes) abundance
R¨¹hlemann MC,33462482,GCST90011478,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_92 (Ruminococcus) abundance
R¨¹hlemann MC,33462482,GCST90011479,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_94 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011480,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU99_98 (Phascolarctobacterium) abundance
